ObjID	dusty_mass	dust_free_mass	star_light_mass	color(u-r)
587727223556735134	8.982	9.412	9.937	1.660
587727223557849339	8.034	8.872	9.964	1.321
587727225158172847	8.417	9.126	10.025	1.303
587727225695895579	8.603	8.164	9.631	1.186
587727226230538318	9.254	8.491	8.717	1.782
587727226231455812	9.408	8.760	9.896	5.940
587727226767278336	7.725	9.279	8.624	1.098
587727226767671456	8.735	9.427	9.922	1.512
587727226769571850	8.527	7.775	9.491	1.149
587727226772258858	7.867	8.832	9.331	1.290
587727227309916244	9.437	8.637	9.882	2.016
587727227841937531	8.170	8.011	9.635	1.431
587727227843117088	8.897	9.473	9.924	1.511
587727227846000830	9.114	8.265	9.835	3.244
587727229449404639	7.474	8.988	10.032	1.183
587727230523605082	7.916	9.127	9.686	1.437
587727231060869188	8.588	7.537	9.428	1.730
587727232133431334	9.103	7.966	9.711	1.583
587727264349880902	8.451	8.732	9.351	1.458
587727265154793990	8.169	9.270	9.111	1.219
587727779205611579	8.736	8.513	9.906	1.883
587727779206922359	8.440	8.244	9.784	1.338
587727779743531088	8.966	8.773	9.731	1.418
587727780816683116	8.004	8.490	9.907	0.944
587727781353160829	9.340	8.986	9.965	1.631
587727781889966198	8.872	8.061	9.681	1.518
587727781890031709	9.068	9.363	9.807	1.669
587727781890097314	8.968	8.989	10.037	1.565
587727781890097322	8.274	9.277	10.060	1.141
587727781890162754	8.910	9.003	10.086	1.415
587727865641959815	8.936	8.321	9.804	1.261
587727865646088518	9.288	9.134	9.949	1.945
587727866716815583	7.965	9.073	9.236	1.379
587727866719240362	8.658	9.329	9.949	1.382
587727867253162550	8.967	8.050	10.090	1.676
587727867256307774	9.652	8.743	10.052	2.242
587727867257094355	8.380	9.012	9.948	1.283
587727882282860602	9.123	9.651	9.457	1.562
587727882819993672	7.322	8.458	9.361	1.150
587727942422757464	7.967	9.290	9.901	1.513
587727943488897338	7.986	7.347	9.138	1.114
587727944028848308	7.998	8.186	8.697	1.270
587727944032649343	7.790	8.041	9.901	1.331
587727944034156654	7.250	8.085	8.368	1.363
587727944562639179	8.098	7.864	9.764	1.595
587727944565326121	8.334	7.338	9.741	1.278
587727944566505735	8.333	8.152	9.994	1.507
587727944567357581	9.131	8.414	9.983	1.634
587728308030931135	7.054	8.415	8.903	1.119
587728308560527514	7.423	9.242	7.458	0.845
587728308565770439	8.071	7.105	9.498	1.786
587728309095104649	8.266	7.489	10.012	1.365
587728309095170053	9.316	8.092	10.160	2.327
587728309102969037	7.126	8.360	9.821	1.056
587728309637611616	8.698	9.296	9.965	1.409
587728309640888496	7.371	7.185	9.061	1.407
587728666115506385	8.162	8.740	9.604	1.825
587728666117668940	8.099	7.481	9.737	1.139
587728666117668941	7.596	8.232	9.299	0.836
587728666654146828	8.235	8.285	10.043	1.253
587728668268101853	9.455	7.797	10.039	2.296
587728668800844185	9.310	8.346	9.924	1.850
587728669874520451	8.786	9.430	9.226	1.990
587728669878124698	8.827	9.478	9.386	1.350
587728669878386789	9.835	8.892	10.124	2.497
587728669878386966	8.022	8.942	9.426	1.110
587728669878452429	8.927	9.880	9.773	1.945
587728669878518079	8.877	8.150	9.685	1.831
587728669882515508	10.086	8.970	9.723	2.126
587728670415126752	9.247	8.997	9.769	1.569
587728676854497414	8.717	10.083	9.900	1.382
587728676854628460	9.029	9.334	9.888	2.116
587728676854890648	9.449	8.793	9.870	1.994
587728676855545944	7.811	9.087	8.533	1.327
587728676857184480	8.885	9.462	9.981	1.487
587728676857381110	8.010	7.875	9.703	1.364
587728676857971023	8.126	8.989	9.122	1.359
587728676858167394	7.882	8.040	9.607	1.705
587728676858626195	7.258	8.181	8.438	1.106
587728676859215925	8.939	7.936	10.060	2.983
587728676860919918	8.955	7.353	8.611	1.566
587728677391499379	9.099	9.258	9.807	1.700
587728677391892809	8.099	9.064	10.107	1.460
587728677392154636	6.737	9.235	6.568	0.446
587728677393596442	8.460	8.123	9.591	1.422
587728677394972785	8.568	6.737	9.839	1.550
587728677395759224	8.628	8.601	9.872	1.529
587728677928763406	7.547	8.738	8.975	1.072
587728677931909337	8.822	8.876	9.705	2.047
587728677932433466	9.020	7.612	9.576	1.798
587728677934530623	7.048	8.829	8.878	1.063
587728678464585844	8.110	9.117	9.220	1.661
587728679002243221	7.638	7.099	9.692	1.149
587728679005126917	7.739	8.162	10.166	1.407
587728679541735436	8.890	7.728	9.719	1.623
587728679541801065	8.915	7.834	9.746	2.424
587728679541997706	8.526	8.906	9.927	1.424
587728878729887889	9.009	8.890	10.083	1.454
587728879264858271	7.297	8.554	9.524	1.820
587728879264858291	8.205	9.354	9.971	1.542
587728879266824220	8.221	7.479	8.935	1.167
587728879269642285	7.206	8.285	9.825	0.507
587728879271346228	8.237	8.334	9.926	0.965
587728879272263793	8.052	7.206	8.886	0.934
587728879794913295	9.971	8.334	9.982	2.295
587728879797338373	9.290	8.095	9.966	1.806
587728879797338548	7.924	9.971	10.008	1.333
587728879798517834	7.735	9.551	9.792	1.083
587728879800353074	7.954	8.050	9.972	1.397
587728879801532613	8.322	7.791	10.056	1.240
587722983371112774	8.073	8.046	10.013	1.961
587722983368229019	8.037	8.467	9.895	1.392
587728880879337624	7.959	8.093	9.450	0.868
587728881410113693	7.343	8.168	8.562	0.822
587728881410900085	8.592	7.980	9.648	1.236
587728906638393467	7.571	7.380	10.047	0.559
587728906638655787	7.982	8.666	9.087	1.267
587728917372928201	7.102	7.571	9.411	1.103
587728917908816021	7.943	8.086	9.950	1.183
587728917909078109	7.258	7.131	9.217	0.996
587728917912092931	8.328	8.014	8.896	1.723
587728918449553613	8.772	7.295	9.454	1.866
587728918986752006	8.754	8.339	9.927	3.529
587728930268119139	8.146	8.772	9.471	1.215
587728930269364335	8.418	8.759	9.356	1.184
587728930269429900	8.094	8.176	9.251	1.139
587728930798371169	8.789	8.485	9.956	1.864
587728930800992504	8.051	8.167	9.713	1.330
587728930805645525	8.514	8.811	9.778	1.465
587728930807349346	9.457	8.123	10.047	1.843
587728930807349347	9.503	8.640	9.059	1.374
587728930807415133	7.948	9.549	9.525	1.505
587728930808397876	8.385	9.570	9.217	1.636
587728930808791101	8.012	7.989	8.536	1.038
587728931333472579	8.487	8.491	9.846	1.396
587728931342516423	8.669	8.099	9.766	2.432
587728931869360864	7.616	8.601	9.998	1.421
587728931870343595	7.824	8.682	9.970	1.224
587728931873095924	9.484	7.617	10.048	2.284
587728931874275354	9.222	7.941	9.859	2.131
587728931874734425	7.575	9.501	9.768	0.995
587728931884105788	6.958	9.217	8.315	0.820
587728932407345807	8.056	7.653	9.551	1.571
587728932410098016	8.112	6.997	9.747	1.421
